HWND: 0x40256, Parent: 0x20252, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x20252, Parent: 0x20242, Class: IME, Title: Default IME
HWND: 0x2072e, Parent: 0x50632, Class: IME, Title: Default IME
HWND: 0x1072c, Parent: 0x1072a, Class: IME, Title: Default IME
HWND: 0x10728, Parent: 0x10726, Class: IME, Title: Default IME
HWND: 0x30202, Parent: 0x0, Class: CiceroUIWndFrame, Title: CiceroUIWndFrame
HWND: 0x1070a, Parent: 0x10708, Class: IME, Title: Default IME
HWND: 0x10706, Parent: 0x10704, Class: IME, Title: Default IME
HWND: 0x10702, Parent: 0x10700, Class: IME, Title: Default IME
HWND: 0x106f0, Parent: 0x106ec, Class: IME, Title: Default IME
HWND: 0x106c0, Parent: 0x106be, Class: IME, Title: Default IME
HWND: 0x106b8, Parent: 0x106b6, Class: IME, Title: Default IME
HWND: 0x10682, Parent: 0x305fa, Class: IME, Title: Default IME
HWND: 0x2067c, Parent: 0x2067a, Class: IME, Title: Default IME
HWND: 0x205c8, Parent: 0x205ca, Class: IME, Title: Default IME
HWND: 0x105d6, Parent: 0x105d4, Class: IME, Title: Default IME
HWND: 0x105c0, Parent: 0x105bc, Class: IME, Title: Default IME
HWND: 0x105a0, Parent: 0x1059e, Class: IME, Title: Default IME
HWND: 0x1057e, Parent: 0x10574, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x10574, Parent: 0x10570, Class: IME, Title: Default IME
HWND: 0x10572, Parent: 0x1056e, Class: IME, Title: Default IME
HWND: 0x20560, Parent: 0x20562, Class: IME, Title: Default IME
HWND: 0x10556, Parent: 0x10554, Class: IME, Title: Default IME
HWND: 0x2055e, Parent: 0x2055c, Class: IME, Title: Default IME
HWND: 0x1056a, Parent: 0x10568, Class: IME, Title: Default IME
HWND: 0x10544, Parent: 0x10542, Class: IME, Title: Default IME
HWND: 0x104ba, Parent: 0x104b8, Class: IME, Title: Default IME
HWND: 0x104a4, Parent: 0x104a2, Class: IME, Title: Default IME
HWND: 0x1047e, Parent: 0x2047c, Class: IME, Title: Default IME
HWND: 0x10476, Parent: 0x10472, Class: IME, Title: Default IME
HWND: 0x1046c, Parent: 0x1046a, Class: IME, Title: Default IME
HWND: 0x203d4, Parent: 0x203d8, Class: IME, Title: Default IME
HWND: 0x10412, Parent: 0x10410, Class: IME, Title: Default IME
HWND: 0x1040e, Parent: 0x1040c, Class: IME, Title: Default IME
HWND: 0x203f0, Parent: 0x203ee, Class: IME, Title: Default IME
HWND: 0x103c4, Parent: 0x103c2, Class: IME, Title: Default IME
HWND: 0x50060, Parent: 0x30098, Class: IME, Title: Default IME
HWND: 0x2006c, Parent: 0x200a4, Class: IME, Title: Default IME
HWND: 0x20072, Parent: 0x20086, Class: IME, Title: Default IME
HWND: 0x10290, Parent: 0x1028e, Class: IME, Title: Default IME
HWND: 0x10282, Parent: 0x10280, Class: IME, Title: Default IME
HWND: 0x2024e, Parent: 0x40134, Class: IME, Title: Default IME
HWND: 0x1020a, Parent: 0x10208, Class: IME, Title: Default IME
HWND: 0x10206, Parent: 0x10204, Class: IME, Title: Default IME
HWND: 0x1019e, Parent: 0x1019c, Class: IME, Title: Default IME
HWND: 0x2011e, Parent: 0x2013e, Class: IME, Title: Default IME
HWND: 0x300e6, Parent: 0x20154, Class: IME, Title: Default IME
HWND: 0x20152, Parent: 0x20150, Class: IME, Title: Default IME
HWND: 0x20182, Parent: 0x20186, Class: IME, Title: Default IME
HWND: 0x10184, Parent: 0x8013a, Class: IME, Title: Default IME
HWND: 0x10180, Parent: 0x1017e, Class: IME, Title: Default IME
HWND: 0x1010c, Parent: 0x1010a, Class: IME, Title: Default IME
HWND: 0x100f4, Parent: 0x100f2, Class: IME, Title: Default IME
HWND: 0x100ee, Parent: 0x100ec, Class: IME, Title: Default IME
HWND: 0x100c6, Parent: 0x100c2, Class: IME, Title: Default IME
HWND: 0x100ae, Parent: 0x100ac, Class: IME, Title: Default IME
HWND: 0x100aa, Parent: 0x200a8, Class: IME, Title: Default IME
HWND: 0x10316, Parent: 0x10314, Class: IME, Title: Default IME
HWND: 0x6703f6, Parent: 0xb003ec, Class: IME, Title: Default IME
HWND: 0x40980, Parent: 0x705a4, Class: IME, Title: Default IME
